国家,年份,人均年消费量(kg),最受欢迎咖啡类型,平均单杯价格(美元),咖啡馆数量/10万人,是否有本土咖啡品牌,年度咖啡进口额(百万美元)
意大利,2020,6.2,浓缩咖啡,1.8,12.5,是,450
意大利,2021,6.3,浓缩咖啡,1.9,12.8,是,465
意大利,2022,6.1,浓缩咖啡,2.1,12.6,是,480
美国,2020,4.2,美式咖啡,3.5,8.2,是,1200
美国,2021,4.5,冷萃咖啡,3.7,8.5,是,1250
美国,2022,4.7,冷萃咖啡,4.0,8.8,是,1300
日本,2020,3.8,手冲咖啡,4.2,9.1,是,520
日本,2021,3.9,手冲咖啡,4.3,9.3,是,535
日本,2022,4.0,混合咖啡,4.5,9.5,是,550
巴西,2020,5.1,黑咖啡,1.2,5.3,是,180
巴西,2021,5.3,黑咖啡,1.3,5.5,是,190
巴西,2022,5.5,黑咖啡,1.4,5.7,是,200
法国,2020,5.9,拿铁,2.5,10.8,是,680
法国,2021,6.0,拿铁,2.6,11.0,是,690
法国,2022,5.8,卡布奇诺,2.8,10.9,是,700
中国,2020,1.2,拿铁,3.0,3.5,否,950
中国,2021,1.5,美式咖啡,3.2,4.0,否,1000
中国,2022,1.8,拿铁,3.5,4.5,是,1050
埃塞俄比亚,2020,3.2,耶加雪菲,2.0,2.8,是,80
埃塞俄比亚,2021,3.3,耶加雪菲,2.1,2.9,是,85
埃塞俄比亚,2022,3.5,耶加雪菲,2.2,3.0,是,90
英国,2020,2.8,卡布奇诺,3.1,7.6,否,720
英国,2021,2.9,卡布奇诺,3.2,7.8,否,730
英国,2022,3.0,拿铁,3.3,8.0,否,740
